,CAMIS,new_grade,INSPECTION DATE,VIOLATION CODE,SCORE,GRADE,CD,HealthArea,SanitDistr,AssessTot,YearAlter1,YearAlter2,YearBuilt,NumFloors,yelp_rating,yelp_categories,yelp_review_count,stats.checkinsCount,stats.tipCount,stats.usersCount,311_complaint_count,goog_lat,goog_lng,is_coffee,is_pizza,is_sandwiches,is_chinese,is_hotdogs,is_italian,is_breakfast_brnch,is_newamerican,is_bakeries,is_brgers,is_tradamerican,is_bars,is_mexican,is_donts,is_cafes,is_salad,is_japanese,is_desserts,is_seafood,is_icecream,failed,yrs_since_reno,bldg_age
12156,41299914,A,11/13/2013,10F,12.0,A,CD_407,HealthArea_1200,SanitDistr_7,-0.153747705924,0.0,0.0,1946.0,-0.4750965683,0.636970690907,[u'korean'],-0.00789863825763,-0.137739434487,-0.224942988208,-0.162521157776,0.0,40.7607984,-73.8269499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515763538547,-0.155284713332
12158,41299757,B,03/27/2015,06D,10.0,A,CD_104,HealthArea_5600,SanitDistr_4,-0.151298314067,2004.0,0.0,1950.0,-0.303016267406,-1.3448127218,"[u'danceclubs', u'lounges']",0.502541182665,-0.00263441784985,0.00174361548951,0.0966930792605,0.0,40.7439952,-74.0061937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275061365653,-0.170901998789
12160,41299744,A,08/18/2016,10F,11.0,A,CD_401,HealthArea_400,SanitDistr_1,-0.154172171436,0.0,0.0,1921.0,-0.389056417853,0.636970690907,"[u'seafood', u'greek']",0.955466657568,-0.131663217423,-0.121044961513,-0.139959596245,0.0,40.755874,-73.928718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0447533926102,-0.0576766792286
12163,41299392,A,12/23/2015,04N,9.0,A,CD_106,HealthArea_0,0,-0.154298803016,0.0,0.0,0.0,-0.647176869194,-0.684218250895,[u'coffee'],-0.381741887384,-0.0782486462262,-0.0879864984741,-0.0446648525555,-0.511584081204,40.7498855,-73.9732203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44673111097,7.4425246613
12164,41299315,A,06/14/2013,04H,7.0,A,CD_313,HealthArea_9020,SanitDistr_13,-0.153799793281,2011.0,0.0,2003.0,-0.389056417853,-2.6660016636,"[u'adultentertainment', u'lounges']",-0.460824113161,-0.141404978476,-0.258001451247,-0.171782539516,-0.280376653486,40.5757419,-73.9798129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302033694663,-0.377831031089
12167,41299007,A,05/16/2014,10F,2.0,A,CD_102,HealthArea_5700,SanitDistr_2,-0.111007779329,1928.0,0.0,1900.0,1.15966629019,-0.0236237799941,"[u'vegan', u'juicebars', u'vegetarian']",-0.140900563428,-0.124967820632,-0.106877048782,-0.142292350292,0.0,40.7343136,-73.9911839,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0177810636001,0.0243140694186
12169,41298877,A,12/09/2014,10I,12.0,A,CD_412,HealthArea_2820,SanitDistr_12,-0.152625577074,2006.0,0.0,1930.0,-0.561136718747,0.0,0,0.0,-0.141759974854,-0.267446726401,-0.172130711762,0.0,40.7134608,-73.7542318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28276774537,-0.0928155715059
12174,41298603,A,06/13/2014,02B,13.0,A,CD_103,HealthArea_6200,SanitDistr_3,-0.140527806265,2014.0,2015.0,1986.0,0.38530493617,-0.0236237799941,"[u'newamerican', u'breakfast_brunch', u'brasseries']",5.31577301517,0.287414133908,2.07498151181,0.80766080529,0.413245629669,40.7309849,-73.988401,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.317446454098,-0.311457567898
12175,41298602,A,01/02/2015,09C,23.0,B,CD_112,HealthArea_500,SanitDistr_12,-0.148537684179,1985.0,0.0,1919.0,-0.389056417853,0.636970690907,"[u'delis', u'mexican']",-0.406904413768,-0.140604172695,-0.210775075477,-0.171782539516,-0.0491692257674,40.8356395,-73.9440739,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.20185075834,-0.0498680365003
12176,41298438,A,03/01/2016,04L,10.0,A,CD_302,HealthArea_1200,SanitDistr_2,-0.154026982753,0.0,0.0,1930.0,-0.389056417853,0.636970690907,[u'italian'],0.495351889412,-0.130697297048,-0.144658149398,-0.13915880008,-0.511584081204,40.6896358,-73.9782611,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100746838829,-0.0928155715059
12177,41298236,0,04/16/2015,02G,21.0,B,CD_483,HealthArea_3612,SanitDistr_83,9.56059666712,1999.0,0.0,1994.0,-0.389056417853,0.0,0,0.0,-0.13765687719,-0.196607162746,-0.156114788453,0.0,40.6413111,-73.7781391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.25579541636,-0.342692138811
12178,41298061,A,12/07/2016,10F,11.0,A,CD_407,HealthArea_1200,SanitDistr_7,-0.153732272633,0.0,0.0,1985.0,-0.561136718747,0.0,0,0.0,-0.138920003835,-0.234388263362,-0.168057096485,0.0,40.7587464,-73.8418764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20185075834,-0.307553246534
12182,41297979,A,01/16/2014,06E,12.0,A,CD_207,HealthArea_420,SanitDistr_7,-0.153860240336,0.0,0.0,2006.0,-0.561136718747,0.0,0,0.0,-0.121913200641,-0.220220350631,-0.157437842987,0.875660485106,40.8703011,-73.8788212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28276774537,-0.389543995181
12183,41297608,A,04/02/2015,04A,12.0,A,CD_102,HealthArea_5700,SanitDistr_2,-0.142662101769,1984.0,0.0,1885.0,-0.044895816065,1.29756516181,"[u'venues', u'beer_and_wine', u'wedding_planning']",-0.342200774496,-0.115126990822,-0.2060524379,-0.108275921873,0.0,40.7279823,-73.9926938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197997568481,0.0828788898808
