,AssessTot,NumFloors,yelp_rating,yelp_review_count,stats.checkinsCount,stats.tipCount,stats.usersCount,311_complaint_count,yrs_since_reno,bldg_age,is_coffee,is_pizza,is_sandwiches,is_chinese,is_hotdogs,is_italian,is_breakfast_brnch,is_newamerican,is_bakeries,is_brgers,is_tradamerican,is_bars,is_mexican,is_donts,is_cafes,is_salad,is_japanese,is_desserts,is_seafood,is_icecream,CD_101,CD_102,CD_103,CD_104,CD_105,CD_106,CD_107,CD_108,CD_109,CD_110,CD_111,CD_112,CD_164,CD_201,CD_202,CD_203,CD_204,CD_205,CD_206,CD_207,CD_208,CD_209,CD_210,CD_211,CD_212,CD_226,CD_227,CD_228,CD_301,CD_302,CD_303,CD_304,CD_305,CD_306,CD_307,CD_308,CD_309,CD_310,CD_311,CD_312,CD_313,CD_314,CD_315,CD_316,CD_317,CD_318,CD_355,CD_356,CD_401,CD_402,CD_403,CD_404,CD_405,CD_406,CD_407,CD_408,CD_409,CD_410,CD_411,CD_412,CD_413,CD_414,CD_480,CD_481,CD_483,CD_501,CD_502,CD_503,CD_595
403,-0.115331672962,1.41778674153,0.636970690907,-0.457229466535,-0.140612428425,-0.25327881367,-0.170424667757,0.0,-0.213410327916,-0.0928155715059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,-0.153811368249,-0.561136718747,0.0,0.0,0.0,0.0,0.0,-0.511584081204,-0.271208175795,-0.0967198928701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,-0.149955617769,-0.4750965683,0.636970690907,0.204185512689,-0.132975878447,-0.0974317736281,-0.153607948283,0.0,-0.278914555512,-0.0967198928701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,-0.144678718431,-0.389056417853,0.0,0.0,-0.139035584051,-0.267446726401,-0.172792239029,0.0,-0.159465669895,-0.264605711529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
423,-0.153478266389,-0.4750965683,0.0,0.0,-0.140975680532,-0.262724088824,-0.171121012249,0.0,-0.209557138057,-0.315361889262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,-0.149259190523,0.041144334382,0.636970690907,-0.392525827263,-0.141132539396,-0.25327881367,-0.169658688816,0.0,-0.259648606219,0.0243140694186,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,-0.154036977238,-0.389056417853,1.29756516181,-0.284686428476,-0.141388467017,-0.258001451247,-0.170389850533,0.0,0.0871384810548,-0.0147291442229,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,-0.15132596538,-0.561136718747,0.636970690907,-0.450040173282,-0.141743463394,-0.267446726401,-0.172792239029,0.413245629669,0.0177810636001,-0.0850069287776,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,-0.154255251127,-0.4750965683,1.95815963271,-0.464418759787,-0.142238807177,-0.267446726401,-0.173488583521,0.0,0.0678725317618,-0.0342507510437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,-0.154097008452,-0.303016267406,1.29756516181,-0.460824113161,-0.14214799415,-0.267446726401,-0.173140411275,0.0,-0.275061365653,-0.0147291442229,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
